frame_zero_based,presentation_seconds,interval_from_previous_seconds,picture_type,key_frame
0,0.000000,,I,1
1,0.033333,0.033333000,B,0
2,0.066667,0.033334000,B,0
3,0.100000,0.033333000,B,0
4,0.133333,0.033333000,P,0
5,0.166667,0.033334000,B,0
6,0.200000,0.033333000,B,0
7,0.233333,0.033333000,B,0
8,0.266667,0.033334000,P,0
9,0.300000,0.033333000,B,0
10,0.333333,0.033333000,B,0
11,0.366667,0.033334000,B,0
12,0.400000,0.033333000,P,0
13,0.433333,0.033333000,B,0
14,0.466667,0.033334000,B,0
15,0.500000,0.033333000,B,0
16,0.533333,0.033333000,P,0
17,0.566667,0.033334000,B,0
18,0.600000,0.033333000,B,0
19,0.633333,0.033333000,B,0
20,0.666667,0.033334000,P,0
21,0.700000,0.033333000,B,0
22,0.733333,0.033333000,B,0
23,0.766667,0.033334000,B,0
24,0.800000,0.033333000,P,0
25,0.833333,0.033333000,B,0
26,0.866667,0.033334000,B,0
27,0.900000,0.033333000,B,0
28,0.933333,0.033333000,I,1
29,0.966667,0.033334000,B,0
30,1.000000,0.033333000,B,0
31,1.033333,0.033333000,B,0
32,1.068333,0.035000000,P,0
33,1.101667,0.033334000,B,0
34,1.135000,0.033333000,B,0
35,1.168333,0.033333000,B,0
36,1.201667,0.033334000,P,0
37,1.235000,0.033333000,B,0
38,1.268333,0.033333000,B,0
39,1.301667,0.033334000,B,0
40,1.335000,0.033333000,P,0
41,1.368333,0.033333000,B,0
42,1.401667,0.033334000,B,0
43,1.435000,0.033333000,B,0
44,1.468333,0.033333000,P,0
45,1.501667,0.033334000,B,0
46,1.535000,0.033333000,B,0
47,1.568333,0.033333000,B,0
48,1.601667,0.033334000,P,0
49,1.635000,0.033333000,B,0
50,1.668333,0.033333000,B,0
51,1.701667,0.033334000,B,0
52,1.735000,0.033333000,P,0
53,1.768333,0.033333000,B,0
54,1.801667,0.033334000,B,0
55,1.835000,0.033333000,B,0
56,1.868333,0.033333000,I,1
57,1.901667,0.033334000,B,0
58,1.935000,0.033333000,B,0
59,1.968333,0.033333000,B,0
60,2.001667,0.033334000,P,0
61,2.035000,0.033333000,B,0
62,2.068333,0.033333000,B,0
63,2.101667,0.033334000,B,0
64,2.135000,0.033333000,P,0
65,2.168333,0.033333000,B,0
66,2.201667,0.033334000,B,0
67,2.235000,0.033333000,B,0
68,2.268333,0.033333000,P,0
69,2.301667,0.033334000,B,0
70,2.335000,0.033333000,B,0
71,2.368333,0.033333000,B,0
72,2.401667,0.033334000,P,0
73,2.435000,0.033333000,B,0
74,2.468333,0.033333000,B,0
75,2.501667,0.033334000,B,0
76,2.535000,0.033333000,P,0
77,2.568333,0.033333000,B,0
78,2.601667,0.033334000,B,0
79,2.635000,0.033333000,B,0
80,2.668333,0.033333000,P,0
81,2.701667,0.033334000,B,0
82,2.735000,0.033333000,B,0
83,2.768333,0.033333000,B,0
84,2.801667,0.033334000,I,1
85,2.835000,0.033333000,B,0
86,2.868333,0.033333000,B,0
87,2.901667,0.033334000,B,0
88,2.935000,0.033333000,P,0
89,2.968333,0.033333000,B,0
90,3.001667,0.033334000,B,0
91,3.035000,0.033333000,B,0
92,3.068333,0.033333000,P,0
93,3.101667,0.033334000,B,0
94,3.136667,0.035000000,B,0
95,3.170000,0.033333000,B,0
96,3.203333,0.033333000,P,0
97,3.236667,0.033334000,B,0
98,3.270000,0.033333000,B,0
99,3.303333,0.033333000,B,0
100,3.336667,0.033334000,P,0
101,3.370000,0.033333000,B,0
102,3.403333,0.033333000,B,0
103,3.436667,0.033334000,B,0
104,3.470000,0.033333000,P,0
105,3.503333,0.033333000,B,0
106,3.536667,0.033334000,B,0
107,3.570000,0.033333000,B,0
108,3.603333,0.033333000,P,0
109,3.636667,0.033334000,B,0
110,3.670000,0.033333000,B,0
111,3.703333,0.033333000,B,0
112,3.736667,0.033334000,I,1
113,3.770000,0.033333000,B,0
114,3.803333,0.033333000,B,0
115,3.836667,0.033334000,B,0
116,3.870000,0.033333000,P,0
117,3.903333,0.033333000,B,0
118,3.936667,0.033334000,B,0
119,3.970000,0.033333000,B,0
120,4.003333,0.033333000,P,0
121,4.036667,0.033334000,B,0
122,4.070000,0.033333000,B,0
123,4.103333,0.033333000,B,0
124,4.136667,0.033334000,P,0
125,4.170000,0.033333000,B,0
126,4.203333,0.033333000,B,0
127,4.236667,0.033334000,B,0
128,4.270000,0.033333000,P,0
129,4.303333,0.033333000,B,0
130,4.336667,0.033334000,B,0
131,4.370000,0.033333000,B,0
132,4.403333,0.033333000,P,0
133,4.436667,0.033334000,B,0
134,4.470000,0.033333000,B,0
135,4.503333,0.033333000,B,0
136,4.536667,0.033334000,P,0
137,4.570000,0.033333000,B,0
138,4.603333,0.033333000,B,0
139,4.636667,0.033334000,B,0
140,4.670000,0.033333000,I,1
141,4.703333,0.033333000,B,0
142,4.736667,0.033334000,B,0
143,4.770000,0.033333000,B,0
144,4.803333,0.033333000,P,0
145,4.836667,0.033334000,B,0
146,4.870000,0.033333000,B,0
147,4.903333,0.033333000,B,0
148,4.936667,0.033334000,P,0
149,4.970000,0.033333000,B,0
150,5.003333,0.033333000,B,0
151,5.036667,0.033334000,B,0
152,5.070000,0.033333000,P,0
153,5.103333,0.033333000,B,0
154,5.136667,0.033334000,B,0
155,5.171667,0.035000000,B,0
156,5.205000,0.033333000,P,0
157,5.238333,0.033333000,B,0
158,5.271667,0.033334000,B,0
159,5.305000,0.033333000,B,0
160,5.338333,0.033333000,P,0
161,5.371667,0.033334000,B,0
162,5.405000,0.033333000,B,0
163,5.438333,0.033333000,B,0
164,5.471667,0.033334000,P,0
165,5.505000,0.033333000,B,0
166,5.538333,0.033333000,B,0
