frame_zero_based,presentation_seconds,interval_from_previous_seconds,picture_type,key_frame
0,0.000000,,I,1
1,0.016683,0.016683000,B,0
2,0.033367,0.016684000,B,0
3,0.050050,0.016683000,B,0
4,0.066733,0.016683000,P,0
5,0.083417,0.016684000,B,0
6,0.100100,0.016683000,B,0
7,0.116783,0.016683000,B,0
8,0.133467,0.016684000,P,0
9,0.150150,0.016683000,P,0
10,0.166834,0.016684000,P,0
11,0.183517,0.016683000,B,0
12,0.200200,0.016683000,B,0
13,0.216884,0.016684000,B,0
14,0.233567,0.016683000,P,0
15,0.250250,0.016683000,B,0
16,0.266934,0.016684000,B,0
17,0.283617,0.016683000,B,0
18,0.300300,0.016683000,P,0
19,0.316984,0.016684000,B,0
20,0.333667,0.016683000,B,0
21,0.350350,0.016683000,B,0
22,0.367034,0.016684000,P,0
23,0.383717,0.016683000,B,0
24,0.400400,0.016683000,B,0
25,0.417084,0.016684000,B,0
26,0.433767,0.016683000,P,0
27,0.450450,0.016683000,B,0
28,0.467134,0.016684000,B,0
29,0.483817,0.016683000,B,0
30,0.500501,0.016684000,P,0
31,0.517184,0.016683000,B,0
32,0.533867,0.016683000,B,0
33,0.550551,0.016684000,B,0
34,0.567234,0.016683000,P,0
35,0.583917,0.016683000,B,0
36,0.600601,0.016684000,B,0
37,0.617284,0.016683000,B,0
38,0.633967,0.016683000,P,0
39,0.650651,0.016684000,B,0
40,0.667334,0.016683000,P,0
41,0.684017,0.016683000,B,0
42,0.700701,0.016684000,P,0
43,0.717384,0.016683000,B,0
44,0.734067,0.016683000,P,0
45,0.750751,0.016684000,B,0
46,0.767434,0.016683000,P,0
47,0.784117,0.016683000,B,0
48,0.800801,0.016684000,P,0
49,0.817484,0.016683000,P,0
50,0.834168,0.016684000,P,0
51,0.850851,0.016683000,P,0
52,0.867534,0.016683000,P,0
53,0.884218,0.016684000,P,0
54,0.900901,0.016683000,P,0
55,0.917584,0.016683000,P,0
56,0.934268,0.016684000,P,0
57,0.950951,0.016683000,P,0
58,0.967634,0.016683000,P,0
59,0.984318,0.016684000,P,0
60,1.001001,0.016683000,P,0
61,1.017684,0.016683000,P,0
62,1.034368,0.016684000,P,0
63,1.051051,0.016683000,P,0
64,1.067734,0.016683000,P,0
65,1.084418,0.016684000,P,0
66,1.101101,0.016683000,B,0
67,1.117784,0.016683000,P,0
68,1.134468,0.016684000,B,0
69,1.151151,0.016683000,P,0
70,1.167835,0.016684000,P,0
71,1.184518,0.016683000,B,0
72,1.201201,0.016683000,P,0
73,1.217885,0.016684000,B,0
74,1.234568,0.016683000,B,0
75,1.251251,0.016683000,B,0
76,1.267935,0.016684000,P,0
77,1.284618,0.016683000,B,0
78,1.301301,0.016683000,P,0
79,1.317985,0.016684000,B,0
80,1.334668,0.016683000,B,0
81,1.351351,0.016683000,B,0
82,1.368035,0.016684000,P,0
83,1.384718,0.016683000,B,0
84,1.401401,0.016683000,B,0
85,1.418085,0.016684000,B,0
86,1.434768,0.016683000,P,0
87,1.451451,0.016683000,B,0
88,1.468135,0.016684000,B,0
89,1.484818,0.016683000,B,0
90,1.501502,0.016684000,P,0
91,1.518185,0.016683000,B,0
92,1.534868,0.016683000,B,0
93,1.551552,0.016684000,B,0
94,1.568235,0.016683000,P,0
95,1.584918,0.016683000,B,0
96,1.601602,0.016684000,B,0
97,1.618285,0.016683000,B,0
98,1.634968,0.016683000,P,0
99,1.651652,0.016684000,B,0
100,1.668335,0.016683000,B,0
101,1.685018,0.016683000,B,0
102,1.701702,0.016684000,P,0
103,1.718385,0.016683000,B,0
104,1.735068,0.016683000,B,0
105,1.751752,0.016684000,B,0
106,1.768435,0.016683000,P,0
107,1.785118,0.016683000,B,0
108,1.801802,0.016684000,B,0
109,1.818485,0.016683000,B,0
110,1.835169,0.016684000,P,0
111,1.851852,0.016683000,B,0
112,1.868535,0.016683000,B,0
113,1.885219,0.016684000,B,0
114,1.901902,0.016683000,P,0
115,1.918585,0.016683000,B,0
116,1.935269,0.016684000,B,0
117,1.951952,0.016683000,B,0
118,1.968635,0.016683000,P,0
119,1.985319,0.016684000,B,0
120,2.002002,0.016683000,B,0
121,2.018685,0.016683000,B,0
122,2.035369,0.016684000,P,0
123,2.052052,0.016683000,B,0
124,2.068735,0.016683000,B,0
125,2.085419,0.016684000,P,0
126,2.102102,0.016683000,B,0
127,2.118785,0.016683000,B,0
128,2.135469,0.016684000,P,0
129,2.152152,0.016683000,B,0
130,2.168836,0.016684000,P,0
131,2.185519,0.016683000,B,0
132,2.202202,0.016683000,P,0
133,2.218886,0.016684000,B,0
134,2.235569,0.016683000,P,0
135,2.252252,0.016683000,B,0
136,2.268936,0.016684000,B,0
137,2.285619,0.016683000,P,0
138,2.302302,0.016683000,B,0
139,2.318986,0.016684000,B,0
140,2.335669,0.016683000,B,0
141,2.352352,0.016683000,P,0
